game_date,start_time_utc,away_team,home_team,away_score,home_score,winner,away_implied_win_prob,home_implied_win_prob
2026-04-17,2026-04-17 22:45:00+00:00,Tampa Bay Rays,Pittsburgh Pirates,1,5,Pittsburgh Pirates,0.48,0.52
2026-04-17,2026-04-17 23:05:00+00:00,Kansas City Royals,New York Yankees,2,4,New York Yankees,0.39,0.61
2026-04-17,2026-04-17 23:10:00+00:00,Milwaukee Brewers,Miami Marlins,7,5,Milwaukee Brewers,0.5,0.5
2026-04-17,2026-04-17 23:15:00+00:00,Detroit Tigers,Boston Red Sox,0,1,Boston Red Sox,0.47,0.53
2026-04-18,2026-04-18 00:10:00+00:00,St. Louis Cardinals,Houston Astros,9,4,St. Louis Cardinals,0.43,0.57
2026-04-18,2026-04-18 00:10:00+00:00,Cincinnati Reds,Minnesota Twins,2,1,Cincinnati Reds,0.44,0.56
2026-04-18,2026-04-18 00:40:00+00:00,Los Angeles Dodgers,Colorado Rockies,7,1,Los Angeles Dodgers,0.73,0.27
2026-04-18,2026-04-18 01:38:00+00:00,San Diego Padres,Los Angeles Angels,0,8,Los Angeles Angels,0.51,0.49
2026-04-18,2026-04-18 01:40:00+00:00,Texas Rangers,Seattle Mariners,5,0,Texas Rangers,0.44,0.56
2026-04-18,2026-04-18 17:35:00+00:00,Kansas City Royals,New York Yankees,4,13,New York Yankees,0.41,0.59
2026-04-18,2026-04-18 18:10:00+00:00,Cincinnati Reds,Minnesota Twins,5,4,Cincinnati Reds,0.46,0.54
2026-04-18,2026-04-18 18:20:00+00:00,New York Mets,Chicago Cubs,2,4,Chicago Cubs,0.49,0.51
2026-04-18,2026-04-18 19:30:00+00:00,Tampa Bay Rays,Pittsburgh Pirates,8,7,Tampa Bay Rays,0.41,0.59
2026-04-18,2026-04-18 20:05:00+00:00,San Francisco Giants,Washington Nationals,7,6,San Francisco Giants,0.52,0.48
2026-04-18,2026-04-18 20:10:00+00:00,Detroit Tigers,Boston Red Sox,4,1,Detroit Tigers,0.58,0.42
2026-04-18,2026-04-18 20:10:00+00:00,Milwaukee Brewers,Miami Marlins,5,2,Milwaukee Brewers,0.5,0.5
2026-04-18,2026-04-18 22:10:00+00:00,Baltimore Orioles,Cleveland Guardians,2,4,Cleveland Guardians,0.45,0.55
2026-04-18,2026-04-18 23:10:00+00:00,St. Louis Cardinals,Houston Astros,7,5,St. Louis Cardinals,0.44,0.56
2026-04-18,2026-04-18 23:15:00+00:00,Texas Rangers,Seattle Mariners,3,7,Seattle Mariners,0.46,0.54
2026-04-18,2026-04-18 23:15:00+00:00,Atlanta Braves,Philadelphia Phillies,3,1,Atlanta Braves,0.48,0.52
2026-04-19,2026-04-19 00:10:00+00:00,Los Angeles Dodgers,Colorado Rockies,3,4,Colorado Rockies,0.73,0.27
